slug,pdf_page,position,card_type,cost,face_webp,face_pdf,artwork_png,artwork_jpg,artwork_webp,source_sheet
s101,1,r1c1,activ-corporal,0,faces/webp/s101-activ-corporal-cost-0.webp,faces/pdf/s101-activ-corporal-cost-0.pdf,artwork/png/s101-activ-corporal-cost-0.png,artwork/jpg/s101-activ-corporal-cost-0.jpg,artwork/webp/s101-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s102,1,r1c2,activ-corporal,0,faces/webp/s102-activ-corporal-cost-0.webp,faces/pdf/s102-activ-corporal-cost-0.pdf,artwork/png/s102-activ-corporal-cost-0.png,artwork/jpg/s102-activ-corporal-cost-0.jpg,artwork/webp/s102-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s103,1,r1c3,activ-corporal,0,faces/webp/s103-activ-corporal-cost-0.webp,faces/pdf/s103-activ-corporal-cost-0.pdf,artwork/png/s103-activ-corporal-cost-0.png,artwork/jpg/s103-activ-corporal-cost-0.jpg,artwork/webp/s103-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s104,1,r1c4,activ-corporal,0,faces/webp/s104-activ-corporal-cost-0.webp,faces/pdf/s104-activ-corporal-cost-0.pdf,artwork/png/s104-activ-corporal-cost-0.png,artwork/jpg/s104-activ-corporal-cost-0.jpg,artwork/webp/s104-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s105,1,r1c5,activ-corporal,0,faces/webp/s105-activ-corporal-cost-0.webp,faces/pdf/s105-activ-corporal-cost-0.pdf,artwork/png/s105-activ-corporal-cost-0.png,artwork/jpg/s105-activ-corporal-cost-0.jpg,artwork/webp/s105-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s107,1,r2c1,activ-corporal,0,faces/webp/s107-activ-corporal-cost-0.webp,faces/pdf/s107-activ-corporal-cost-0.pdf,artwork/png/s107-activ-corporal-cost-0.png,artwork/jpg/s107-activ-corporal-cost-0.jpg,artwork/webp/s107-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s109,1,r2c2,activ-corporal,0,faces/webp/s109-activ-corporal-cost-0.webp,faces/pdf/s109-activ-corporal-cost-0.pdf,artwork/png/s109-activ-corporal-cost-0.png,artwork/jpg/s109-activ-corporal-cost-0.jpg,artwork/webp/s109-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s108,1,r2c3,activ-corporal,0,faces/webp/s108-activ-corporal-cost-0.webp,faces/pdf/s108-activ-corporal-cost-0.pdf,artwork/png/s108-activ-corporal-cost-0.png,artwork/jpg/s108-activ-corporal-cost-0.jpg,artwork/webp/s108-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s110,1,r2c4,activ-corporal,0,faces/webp/s110-activ-corporal-cost-0.webp,faces/pdf/s110-activ-corporal-cost-0.pdf,artwork/png/s110-activ-corporal-cost-0.png,artwork/jpg/s110-activ-corporal-cost-0.jpg,artwork/webp/s110-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s106,1,r2c5,activ-corporal,0,faces/webp/s106-activ-corporal-cost-0.webp,faces/pdf/s106-activ-corporal-cost-0.pdf,artwork/png/s106-activ-corporal-cost-0.png,artwork/jpg/s106-activ-corporal-cost-0.jpg,artwork/webp/s106-activ-corporal-cost-0.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s121,1,r3c1,activ-corporal,1,faces/webp/s121-activ-corporal-cost-1.webp,faces/pdf/s121-activ-corporal-cost-1.pdf,artwork/png/s121-activ-corporal-cost-1.png,artwork/jpg/s121-activ-corporal-cost-1.jpg,artwork/webp/s121-activ-corporal-cost-1.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s122,1,r3c2,activ-corporal,1,faces/webp/s122-activ-corporal-cost-1.webp,faces/pdf/s122-activ-corporal-cost-1.pdf,artwork/png/s122-activ-corporal-cost-1.png,artwork/jpg/s122-activ-corporal-cost-1.jpg,artwork/webp/s122-activ-corporal-cost-1.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s123,1,r3c3,activ-corporal,1,faces/webp/s123-activ-corporal-cost-1.webp,faces/pdf/s123-activ-corporal-cost-1.pdf,artwork/png/s123-activ-corporal-cost-1.png,artwork/jpg/s123-activ-corporal-cost-1.jpg,artwork/webp/s123-activ-corporal-cost-1.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s124,1,r3c4,activ-corporal,1,faces/webp/s124-activ-corporal-cost-1.webp,faces/pdf/s124-activ-corporal-cost-1.pdf,artwork/png/s124-activ-corporal-cost-1.png,artwork/jpg/s124-activ-corporal-cost-1.jpg,artwork/webp/s124-activ-corporal-cost-1.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s125,1,r3c5,activ-corporal,1,faces/webp/s125-activ-corporal-cost-1.webp,faces/pdf/s125-activ-corporal-cost-1.pdf,artwork/png/s125-activ-corporal-cost-1.png,artwork/jpg/s125-activ-corporal-cost-1.jpg,artwork/webp/s125-activ-corporal-cost-1.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
s126,1,r4c1,activ-corporal,2,faces/webp/s126-activ-corporal-cost-2.webp,faces/pdf/s126-activ-corporal-cost-2.pdf,artwork/png/s126-activ-corporal-cost-2.png,artwork/jpg/s126-activ-corporal-cost-2.jpg,artwork/webp/s126-activ-corporal-cost-2.webp,deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf
