slug,pdf_page,position,card_type,cost,face_webp,face_pdf,artwork_png,artwork_jpg,artwork_webp,source_sheet,display_name,production,marketing,expense,special_effect
s149,1,r1c1,activ-necorporal,3,faces/webp/s149-activ-necorporal-cost-3.webp,faces/pdf/s149-activ-necorporal-cost-3.pdf,artwork/png/s149-activ-necorporal-cost-3.png,artwork/jpg/s149-activ-necorporal-cost-3.jpg,artwork/webp/s149-activ-necorporal-cost-3.webp,BT_EZplay_pag3.pdf,,,,,
s150,1,r1c2,activ-necorporal,3,faces/webp/s150-activ-necorporal-cost-3.webp,faces/pdf/s150-activ-necorporal-cost-3.pdf,artwork/png/s150-activ-necorporal-cost-3.png,artwork/jpg/s150-activ-necorporal-cost-3.jpg,artwork/webp/s150-activ-necorporal-cost-3.webp,BT_EZplay_pag3.pdf,,,,,
s151,1,r1c3,activ-necorporal,3,faces/webp/s151-activ-necorporal-cost-3.webp,faces/pdf/s151-activ-necorporal-cost-3.pdf,artwork/png/s151-activ-necorporal-cost-3.png,artwork/jpg/s151-activ-necorporal-cost-3.jpg,artwork/webp/s151-activ-necorporal-cost-3.webp,BT_EZplay_pag3.pdf,,,,,
s152,1,r1c4,activ-necorporal,3,faces/webp/s152-activ-necorporal-cost-3.webp,faces/pdf/s152-activ-necorporal-cost-3.pdf,artwork/png/s152-activ-necorporal-cost-3.png,artwork/jpg/s152-activ-necorporal-cost-3.jpg,artwork/webp/s152-activ-necorporal-cost-3.webp,BT_EZplay_pag3.pdf,,,,,
s153,1,r1c5,activ-necorporal,6,faces/webp/s153-activ-necorporal-cost-6.webp,faces/pdf/s153-activ-necorporal-cost-6.pdf,artwork/png/s153-activ-necorporal-cost-6.png,artwork/jpg/s153-activ-necorporal-cost-6.jpg,artwork/webp/s153-activ-necorporal-cost-6.webp,BT_EZplay_pag3.pdf,,,,,
s154,1,r2c1,activ-necorporal,4,faces/webp/s154-activ-necorporal-cost-4.webp,faces/pdf/s154-activ-necorporal-cost-4.pdf,artwork/png/s154-activ-necorporal-cost-4.png,artwork/jpg/s154-activ-necorporal-cost-4.jpg,artwork/webp/s154-activ-necorporal-cost-4.webp,BT_EZplay_pag3.pdf,,,,,
s155,1,r2c2,activ-necorporal,4,faces/webp/s155-activ-necorporal-cost-4.webp,faces/pdf/s155-activ-necorporal-cost-4.pdf,artwork/png/s155-activ-necorporal-cost-4.png,artwork/jpg/s155-activ-necorporal-cost-4.jpg,artwork/webp/s155-activ-necorporal-cost-4.webp,BT_EZplay_pag3.pdf,,,,,
s156,1,r2c3,activ-necorporal,3,faces/webp/s156-activ-necorporal-cost-3.webp,faces/pdf/s156-activ-necorporal-cost-3.pdf,artwork/png/s156-activ-necorporal-cost-3.png,artwork/jpg/s156-activ-necorporal-cost-3.jpg,artwork/webp/s156-activ-necorporal-cost-3.webp,BT_EZplay_pag3.pdf,,,,,
s157,1,r2c4,activ-necorporal,5,faces/webp/s157-activ-necorporal-cost-5.webp,faces/pdf/s157-activ-necorporal-cost-5.pdf,artwork/png/s157-activ-necorporal-cost-5.png,artwork/jpg/s157-activ-necorporal-cost-5.jpg,artwork/webp/s157-activ-necorporal-cost-5.webp,BT_EZplay_pag3.pdf,,,,,
s158,1,r2c5,activ-necorporal,4,faces/webp/s158-activ-necorporal-cost-4.webp,faces/pdf/s158-activ-necorporal-cost-4.pdf,artwork/png/s158-activ-necorporal-cost-4.png,artwork/jpg/s158-activ-necorporal-cost-4.jpg,artwork/webp/s158-activ-necorporal-cost-4.webp,BT_EZplay_pag3.pdf,,,,,
e101,1,r3c1,eveniment,,faces/webp/e101-eveniment.webp,faces/pdf/e101-eveniment.pdf,artwork/png/e101-eveniment.png,artwork/jpg/e101-eveniment.jpg,artwork/webp/e101-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e102,1,r3c2,eveniment,,faces/webp/e102-eveniment.webp,faces/pdf/e102-eveniment.pdf,artwork/png/e102-eveniment.png,artwork/jpg/e102-eveniment.jpg,artwork/webp/e102-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e103,1,r3c3,eveniment,,faces/webp/e103-eveniment.webp,faces/pdf/e103-eveniment.pdf,artwork/png/e103-eveniment.png,artwork/jpg/e103-eveniment.jpg,artwork/webp/e103-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e104,1,r3c4,eveniment,,faces/webp/e104-eveniment.webp,faces/pdf/e104-eveniment.pdf,artwork/png/e104-eveniment.png,artwork/jpg/e104-eveniment.jpg,artwork/webp/e104-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e105,1,r3c5,eveniment,,faces/webp/e105-eveniment.webp,faces/pdf/e105-eveniment.pdf,artwork/png/e105-eveniment.png,artwork/jpg/e105-eveniment.jpg,artwork/webp/e105-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e106,1,r4c1,eveniment,,faces/webp/e106-eveniment.webp,faces/pdf/e106-eveniment.pdf,artwork/png/e106-eveniment.png,artwork/jpg/e106-eveniment.jpg,artwork/webp/e106-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e107,1,r4c2,eveniment,,faces/webp/e107-eveniment.webp,faces/pdf/e107-eveniment.pdf,artwork/png/e107-eveniment.png,artwork/jpg/e107-eveniment.jpg,artwork/webp/e107-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e108,1,r4c3,eveniment,,faces/webp/e108-eveniment.webp,faces/pdf/e108-eveniment.pdf,artwork/png/e108-eveniment.png,artwork/jpg/e108-eveniment.jpg,artwork/webp/e108-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e109,1,r4c4,eveniment,,faces/webp/e109-eveniment.webp,faces/pdf/e109-eveniment.pdf,artwork/png/e109-eveniment.png,artwork/jpg/e109-eveniment.jpg,artwork/webp/e109-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
e110,1,r4c5,eveniment,,faces/webp/e110-eveniment.webp,faces/pdf/e110-eveniment.pdf,artwork/png/e110-eveniment.png,artwork/jpg/e110-eveniment.jpg,artwork/webp/e110-eveniment.webp,BT_EZplay_pag3.pdf,,,,,
a101,1,r5c1,antreprenor,,faces/webp/a101-antreprenor.webp,faces/pdf/a101-antreprenor.pdf,artwork/png/a101-antreprenor.png,artwork/jpg/a101-antreprenor.jpg,artwork/webp/a101-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a102,1,r5c2,antreprenor,,faces/webp/a102-antreprenor.webp,faces/pdf/a102-antreprenor.pdf,artwork/png/a102-antreprenor.png,artwork/jpg/a102-antreprenor.jpg,artwork/webp/a102-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a103,1,r5c3,antreprenor,,faces/webp/a103-antreprenor.webp,faces/pdf/a103-antreprenor.pdf,artwork/png/a103-antreprenor.png,artwork/jpg/a103-antreprenor.jpg,artwork/webp/a103-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a104,1,r5c4,antreprenor,,faces/webp/a104-antreprenor.webp,faces/pdf/a104-antreprenor.pdf,artwork/png/a104-antreprenor.png,artwork/jpg/a104-antreprenor.jpg,artwork/webp/a104-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a105,1,r5c5,antreprenor,,faces/webp/a105-antreprenor.webp,faces/pdf/a105-antreprenor.pdf,artwork/png/a105-antreprenor.png,artwork/jpg/a105-antreprenor.jpg,artwork/webp/a105-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a106,2,r5c1,antreprenor,,faces/webp/a106-antreprenor.webp,faces/pdf/a106-antreprenor.pdf,artwork/png/a106-antreprenor.png,artwork/jpg/a106-antreprenor.jpg,artwork/webp/a106-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a107,2,r5c2,antreprenor,,faces/webp/a107-antreprenor.webp,faces/pdf/a107-antreprenor.pdf,artwork/png/a107-antreprenor.png,artwork/jpg/a107-antreprenor.jpg,artwork/webp/a107-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a108,2,r5c3,antreprenor,,faces/webp/a108-antreprenor.webp,faces/pdf/a108-antreprenor.pdf,artwork/png/a108-antreprenor.png,artwork/jpg/a108-antreprenor.jpg,artwork/webp/a108-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a109,2,r5c4,antreprenor,,faces/webp/a109-antreprenor.webp,faces/pdf/a109-antreprenor.pdf,artwork/png/a109-antreprenor.png,artwork/jpg/a109-antreprenor.jpg,artwork/webp/a109-antreprenor.webp,BT_EZplay_pag3.pdf,,,,,
a110,2,r5c5,antreprenor,,faces/webp/a110-antreprenor-big-boss.webp,faces/pdf/a110-antreprenor-big-boss.pdf,artwork/png/a110-antreprenor-big-boss.png,artwork/jpg/a110-antreprenor-big-boss.jpg,artwork/webp/a110-antreprenor-big-boss.webp,BT_EZplay_pag3.pdf,Big Boss,0,0,1,Poti renunta la o carte resurse umane fara sa platesti 1 ban
