asset_id,family,product,component,title,language,version,status,source_path,review_export_path,approved_master_path,public_derivative_path,created_with,rights_status,rights_id,permission_id,notes
BRAND-LOGO-001,brand,ezplay,logo,EZPLAY logo,n/a,unknown,public,,,,public/logo_ezplay.svg,unknown,owner-confirmed,RIGHT-004,,Sursa editabilă trebuie localizată
DECK-CARDBACK-STANDARD-001,game,deckbuilder,cardback,Cardback standard,n/a,unknown,public,,,,public/images/cardbacks/base-game/cardback-standard.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-CARDBACK-EVENT-001,game,deckbuilder,cardback,Cardback event,n/a,unknown,public,,,,public/images/cardbacks/base-game/cardback-event.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-CAPITALIZATION-001,game,deckbuilder,icon,Capitalization icon,n/a,unknown,public,,,,public/images/game-icons/capitalization.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-CASH-001,game,deckbuilder,icon,Cash icon,n/a,unknown,public,,,,public/images/game-icons/cash.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-EXPENSES-001,game,deckbuilder,icon,Expenses icon,n/a,unknown,public,,,,public/images/game-icons/expenses.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-INCOME-001,game,deckbuilder,icon,Income icon,n/a,unknown,public,,,,public/images/game-icons/income.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-PRODUCTION-001,game,deckbuilder,icon,Production icon,n/a,unknown,public,,,,public/images/game-icons/production.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-PROFIT-001,game,deckbuilder,icon,Profit icon,n/a,unknown,public,,,,public/images/game-icons/profit.webp,unknown,owner-confirmed,RIGHT-006,,Masterul sursă trebuie localizat
DECK-ICON-SALES-001,game,deckbuilder,icon,Sales icon,n/a,unknown,public,,,,public/images/game-icons/sales.webp,unknown,owner-confirmed,RIGHT-006,,Relația cu termenul Clients trebuie verificată la importul sursei
DECK-PRINT-CARDS-TANGIBLE-001,game,deckbuilder,print-sheet,Active corporale - coală cărți față și spate,ro,v01,approved-master,,,assets/games/deckbuilder/print/deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf,,CorelDRAW 2022,owner-confirmed,RIGHT-005,,PDF trimis la tipografie în 2024; sursa CDR trebuie localizată; harta pozițiilor este în deckbuilder-card-sheet-map.csv
DECK-CARD-S110-FACE-001,game,deckbuilder,card-face,Fața completă a cărții s110,ro,v01,public,assets/games/deckbuilder/print/deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf,assets/games/deckbuilder/cards/individual/s110/deckbuilder-card-s110-ro-v01-face.pdf,,assets/games/deckbuilder/cards/individual/s110/deckbuilder-card-s110-ro-v01-face.webp,CorelDRAW 2022 and asset extraction,owner-confirmed,RIGHT-006,,Poziția r2c4 pe pagina 1; ordinea confirmată de Product Owner
DECK-CARD-S110-ART-001,game,deckbuilder,card-art,Ilustrația centrală a cărții s110,n/a,v01,approved-master,assets/games/deckbuilder/print/deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf,assets/games/deckbuilder/cards/individual/s110/deckbuilder-card-s110-ro-v01-art.jpg,assets/games/deckbuilder/cards/individual/s110/deckbuilder-card-s110-ro-v01-art.png,assets/games/deckbuilder/cards/individual/s110/deckbuilder-card-s110-ro-v01-art.webp,CorelDRAW 2022 and asset extraction,owner-confirmed,RIGHT-005,,Obiectul grafic Im109 extras direct din PDF; 685 × 665 px RGB
DECK-CARD-S109-FACE-001,game,deckbuilder,card-face,Fața completă a cărții s109,ro,v01,public,assets/games/deckbuilder/print/deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf,assets/games/deckbuilder/cards/individual/s109/deckbuilder-card-s109-ro-v01-face.pdf,,assets/games/deckbuilder/cards/individual/s109/deckbuilder-card-s109-ro-v01-face.webp,CorelDRAW 2022 and asset extraction,owner-confirmed,RIGHT-006,,Poziția r2c2 pe pagina 1; ordinea confirmată de Product Owner
DECK-CARD-S109-ART-001,game,deckbuilder,card-art,Ilustrația centrală a cărții s109,n/a,v01,approved-master,assets/games/deckbuilder/print/deckbuilder-cards-tangible-assets-sheet-01-ro-v01-press.pdf,assets/games/deckbuilder/cards/individual/s109/deckbuilder-card-s109-ro-v01-art.jpg,assets/games/deckbuilder/cards/individual/s109/deckbuilder-card-s109-ro-v01-art.png,assets/games/deckbuilder/cards/individual/s109/deckbuilder-card-s109-ro-v01-art.webp,CorelDRAW 2022 and asset extraction,owner-confirmed,RIGHT-005,,Ilustrația din celula r2c2 extrasă direct din PDF; 685 × 665 px RGB
