Tip carte;id;Poza;Nume;Cost;Productie;MKT;Cheltuiala;Tip Activ;Tip calcul;Efect special;Format
Standard;101;https://ezplay.org/cards/base-game/s101.webp;Depozit mic închis;0;2;0;1;Active corporale;aditiv;nu are;Portrait
Standard;102;https://ezplay.org/cards/base-game/s102.webp;Depozit mic compartimentat;0;2;0;1;Active corporale;aditiv;nu are;Portrait
Standard;103;https://ezplay.org/cards/base-game/s103.webp;Depozit mic deschis;0;2;0;1;Active corporale;aditiv;nu are;Portrait
Standard;104;https://ezplay.org/cards/base-game/s104.webp;Depozit simplu accesibil;0;2;0;1;Active corporale;aditiv;nu are;Portrait
Standard;105;https://ezplay.org/cards/base-game/s105.webp;Depozit cu etaj;0;1;1;1;Active corporale;aditiv;nu are;Portrait
Standard;106;https://ezplay.org/cards/base-game/s106.webp;Depozit modular cu etaj;0;1;1;1;Active corporale;aditiv;nu are;Portrait
Standard;107;https://ezplay.org/cards/base-game/s107.webp;Depozit cu dubiță logistică;0;0;2;1;Active corporale;aditiv;nu are;Portrait
Standard;108;https://ezplay.org/cards/base-game/s108.webp;Depozit cu transport propriu;0;0;2;1;Active corporale;aditiv;nu are;Portrait
Standard;109;https://ezplay.org/cards/base-game/s109.webp;Depozit cu mașină dedicată;0;0;2;1;Active corporale;aditiv;nu are;Portrait
Standard;110;https://ezplay.org/cards/base-game/s110.webp;Depozit cu flotă mică;0;0;2;1;Active corporale;aditiv;nu are;Portrait
Standard;111;https://ezplay.org/cards/base-game/s111.webp;Muncitor șantier;0;2;0;1;Resurse umane;aditiv;nu are;Portrait
Standard;112;https://ezplay.org/cards/base-game/s112.webp;Muncitor construcții;0;2;0;1;Resurse umane;aditiv;nu are;Portrait
Standard;113;https://ezplay.org/cards/base-game/s113.webp;Muncitoare secție;0;2;0;1;Resurse umane;aditiv;nu are;Portrait
Standard;114;https://ezplay.org/cards/base-game/s114.webp;Muncitor producție;0;2;0;1;Resurse umane;aditiv;nu are;Portrait
Standard;115;https://ezplay.org/cards/base-game/s115.webp;Supervizor fabrică;0;1;1;1;Resurse umane;aditiv;nu are;Portrait
Standard;116;https://ezplay.org/cards/base-game/s116.webp;Supervizor depozit;0;1;1;1;Resurse umane;aditiv;nu are;Portrait
Standard;117;https://ezplay.org/cards/base-game/s117.webp;Operator computer;0;0;2;1;Resurse umane;aditiv;nu are;Portrait
Standard;118;https://ezplay.org/cards/base-game/s118.webp;Operator date;0;0;2;1;Resurse umane;aditiv;nu are;Portrait
Standard;119;https://ezplay.org/cards/base-game/s119.webp;Operatoare calculatoare;0;0;2;1;Resurse umane;aditiv;nu are;Portrait
Standard;120;https://ezplay.org/cards/base-game/s120.webp;Operatoare date;0;0;2;1;Resurse umane;aditiv;nu are;Portrait
Standard;121;https://ezplay.org/cards/base-game/s121.webp;Motostivuitor cu operator;1;1;3;2;Active corporale;aditiv;La achizitie mai poti achizitiona un alt activ corporal de valoare maxim 1 (se plateste costul lui);Portrait
Standard;122;https://ezplay.org/cards/base-game/s122.webp;Motostivuitor industrial;1;3;1;2;Active corporale;aditiv;La achizitie mai poti achizitiona un alt activ corporal de valoare maxim 1 (se plateste costul lui);Portrait
Standard;123;https://ezplay.org/cards/base-game/s123.webp;Fabrică medie;1;4;0;2;Active corporale;aditiv;La achizitie mai poti achizitiona un alt activ corporal de valoare maxim 2 (se plateste costul lui);Portrait
Standard;124;https://ezplay.org/cards/base-game/s124.webp;Depozit cu rampă vânzare;1;0;4;2;Active corporale;aditiv;La achizitie mai poti achizitiona un alt activ corporal de valoare maxim 2 (se plateste costul lui);Portrait
Standard;125;https://ezplay.org/cards/base-game/s125.webp;Utilaj semiautomat;1;2;2;2;Active corporale;aditiv;nu are;Portrait
Standard;126;https://ezplay.org/cards/base-game/s126.webp;Automat de vânzare;2;1;2;1;Active corporale;aditiv;nu are;Portrait
Standard;127;https://ezplay.org/cards/base-game/s127.webp;Sistem VR interactiv;2;2;1;1;Active corporale;aditiv;nu are;Portrait
Standard;128;https://ezplay.org/cards/base-game/s128.webp;Utilaje de linie producție;2;3;0;1;Active corporale;aditiv;La achizitie poti renunta la o carte active corporale din mana platind 1 ban;Portrait
Standard;129;https://ezplay.org/cards/base-game/s129.webp;Utilaj industrial avansat;2;3;2;2;Active corporale;aditiv;nu are;Portrait
Standard;130;https://ezplay.org/cards/base-game/s130.webp;Utilaj cu flexibilitate ridicată;2;4;1;2;Active corporale;aditiv;La achizitie poti renunta la o carte active corporale din mana fara a mai plati 1 ban;Portrait
Standard;131;https://ezplay.org/cards/base-game/s131.webp;Sistem de eliminare bariere;2;5;0;2;Active corporale;aditiv;La achizitie poti renunta la o carte din mana de orice fel fara a mai plati 1 ban;Portrait
Standard;132;https://ezplay.org/cards/base-game/s132.webp;Minirobot logistic;2;2;2;1;Active corporale;alegere;nu are;Portrait
Standard;133;https://ezplay.org/cards/base-game/s133.webp;Robot multifuncțional;3;4;4;2;Active corporale;alegere;nu are;Portrait
Standard;134;https://ezplay.org/cards/base-game/s134.webp;Robot versatil de producție;4;3;3;1;Active corporale;alegere;nu are;Portrait
Standard;135;https://ezplay.org/cards/base-game/s135.webp;Echipă operatori comenzi;1;1;3;2;Resurse umane;aditiv;La achizitie mai poti achizitiona o alta resursa umana de valoare maxim 1 (se plateste costul ei);Portrait
Standard;136;https://ezplay.org/cards/base-game/s136.webp;Operator comenzi VR;1;1;3;2;Resurse umane;aditiv;La achizitie mai poti achizitiona o alta resursa umana de valoare maxim 1 (se plateste costul ei);Portrait
Standard;137;https://ezplay.org/cards/base-game/s137.webp;Echipă mixtă șantier;1;4;0;2;Resurse umane;aditiv;La achizitie mai poti achizitionao alta resursa umana de valoare maxim 2 (se plateste costul ei);Portrait
Standard;138;https://ezplay.org/cards/base-game/s138.webp;Echipă vânzări integrată;1;0;4;2;Resurse umane;aditiv;La achizitie mai poti achizitiona o alta resursa umana de valoare maxim 2 (se plateste costul ei);Portrait
